Compañia,Videojuego,Año,Consola/PC,N° Trabajadores,Tamaño del juego (Aprox.),Original/Remaster/Remake/Expansión,Estética,Puntaje Medio Críticas (1-100)
Sony Japan Studio*/Team Asobi,Astro´s Playroom,2020,PS5,742,11.64 GB,Original,Cartoon,83
Team Asobi,Astro Bot  ,2024,PS5,725,66 GB,Original,Cartoon,94
Ready at Dawn*,Daxter,2006,PSP,222,1 GB,Original,Cartoon,85
Ready at Dawn*,God of War: Chains of Olympus,2008,PSP,345,1.1 GB,Original,Realista,91
Ready at Dawn*,God of War: Ghost of Sparta,2010,PSP,575,1.07 GB,Original,Realista,86
Ready at Dawn*,God of War: Origins Collection,2011,PS3,Sin datos,15.71 GB,Remaster,Realista,84
Ready at Dawn*,The Order: 1886,2015,PS4,1641,34.7 GB,Original,Realista,63
Ready at Dawn*,Deformers,2017,"PS4, XBOX ONE, PC",Sin datos,8 GB,Original,Cartoon,60
Ready at Dawn*,Lone Echo,2017,Oculus Rift VR,178,18.37 GB,Original,Realista,89
Ready at Dawn*,Echo Arena,2017,Oculus Rift VR,337,3.04 GB,Original,Realista,Sin datos
Ready at Dawn*,Lone Echo II,2021,Oculus Rift VR,280,22.59 GB,Original,Realista,78
,,,,,,,,*Compañias cerradas
